Table 1,,,,,,,,
Quantity (g),oz,Food Item,Protein,Carbs,Fat,Cals,State,Display_Unit,Category,Multi_Allowed
100,3.53,Mangoes,0.70 g,14.1 g,0.20 g,57,,fruit,1
100,3.53,Pineapple,0.40 g,10.0 g,0.20 g,42,,fruit,1
100,3.53,Kiwifruit,1.10 g,10.6 g,0.50 g,49,,fruit,1
100,3.53,Peach,1.00 g,7.20 g,0.10 g,31,,fruit,1
100,3.53,Watermelon,0.40 g,7.00 g,0.30 g,30,,fruit,1
100,3.53,Rockmelon,0.80 g,8.20 g,0.20 g,34,,fruit,1
100,3.53,Grapes,0.40 g,15.2 g,0.10 g,61,,fruit,1
100,3.53,Chicken Tenderloin,23.1g,0g,2.1g,119,cooked,protein,1
100,3.53,Chicken Tenderloin,30.5g,0g,3.0g,160,cooked,protein,1
100,3.53,Chicken Breast Mince,17.4g,0g,8.1g,143,cooked,protein,1
100,3.53,Chicken Breast Mince,25.0g,0g,11.0g,203,cooked,protein,1
100,3.53,Top Sirloin Steak,30.7g,0g,7.1g,206,cooked,protein,1
100,3.53,Lean Turkey Mince,17.5g,0g,8.0g,148,cooked,protein,1
100,3.53,Lean Turkey Mince,27.0g,0g,10.0g,203,cooked,protein,1
100,3.53,Lean Beef Mince,26.0g,0g,11.0g,217,cooked,protein,1
100,3.53,Venison Mince,28.0g,0g,4.0g,166,cooked,protein,1
100,3.53,Bison Mince,25.0g,0g,8.0g,188,cooked,protein,1
100,3.53,Kangaroo Mince,29.0g,0g,2.5g,142,cooked,protein,1
100,3.53,Pork Tenderloin,26.2g,0g,3.5g,143,cooked,protein,1
100,3.53,Lean Pork Mince,25.7g,0g,8.2g,190,cooked,protein,1
100,3.53,Egg Whites,10.9g,0.7g,0.2g,52,,protein,0
50,1.76,Egg (large),6g,0.5g,5g,70,,egg,protein,0
100,3.53,Atlantic Salmon,20.4g,0g,13.4g,208,cooked,protein,1
240,8.47,Black Coffee,0g,0g,0g,0,,cup,drink,1
240,8.47,Coffee with Milk,1.5g,2g,1.5g,25,,cup,drink,1
240,8.47,Coffee with Sugar,0g,8g,0g,32,,cup,drink,1
240,8.47,Coffee with Milk and Sugar,1.5g,10g,1.5g,57,,cup,drink,1
355,12.52,Energy Drink (Sugar Free),0g,0g,0g,5,,can,drink,1
100,3.53,Atlantic Salmon,25.4g,0g,13.1g,206,cooked,protein,1
100,3.53,Smoked Salmon,18.3g,0g,4.3g,117,cooked,protein,1
100,3.53,Canned Tuna (in water),25.5g,0g,0.8g,116,cooked,protein,1
100,3.53,Yellowfin Tuna (Tuna Steak),29.2g,0g,1.0g,130,cooked,protein,1
100,3.53,Cod Fillet,17.8g,0g,0.7g,82,cooked,protein,1
100,3.53,Hoki Fillet,16.6g,0g,0.8g,77,cooked,protein,1
100,3.53,Snapper Fillet,22.4g,0g,1.5g,109,cooked,protein,1
100,3.53,Flathead Fillet,19.7g,0g,1.3g,95,cooked,protein,1
100,3.53,Whiting Fillet,18.3g,0g,1.3g,90,cooked,protein,1
100,3.53,Tilapia Fillet,26.2g,0g,2.7g,128,cooked,protein,1
100,3.53,Scallops,20.5g,5.4g,0.8g,111,cooked,protein,1
100,3.53,Low-Fat Greek Yogurt,10.2g,3.6g,0.4g,59,,protein,1
100,3.53,Low-Fat Cottage Cheese,11.1g,3.4g,4.3g,98,,protein,1
100,3.53,Tofu (Firm),8.2g,2.0g,4.8g,83,,protein,1
100,3.53,Tempeh,18.5g,9.4g,10.8g,192,,protein,1
100,3.53,Seitan,25.0g,14.0g,1.9g,175,,protein,1
100,3.53,Edamame (shelled),11.9g,8.9g,5.2g,122,,protein,1
100,3.53,Lentils,9.0g,20.1g,0.4g,116,cooked,carb,1
100,3.53,High Protein Bread (per slice ~40g),12.0g,18.0g,3.0g,147,,carb,1
100,3.53,Hemp Seeds,31.6g,8.7g,48.8g,553,,fat,1
100,3.53,Pumpkin Seeds,19.0g,11.0g,49.0g,559,,fat,1
100,3.53,Basmati Rice,2.7g,28.2g,0.3g,130,cooked,carb,1
100,3.53,Jasmine Rice,2.7g,28.6g,0.2g,130,cooked,carb,1
100,3.53,Black Rice,2.5g,22.3g,0.8g,111,cooked,carb,1
100,3.53,Chickpeas,8.9g,27.4g,2.6g,164,cooked,carb,1
100,3.53,Kidney Beans,8.7g,22.8g,0.5g,127,cooked,carb,1
100,3.53,Buckwheat,3.4g,19.9g,0.6g,92,cooked,carb,1
25,0.88,Corn Tortillas,0.7g,5.2g,0.25g,26,,tortilla,carb,1
100,3.53,Wholemeal Wraps,8.0g,36.0g,4.0g,210,,carb,1
32,1.13,Rye Bread,2.7g,15.5g,1.1g,83,,slice,carb,1
40,1.41,Wholemeal Bread,4.0g,17.0g,1.5g,100,,slice,carb,1
100,3.53,English Muffins (per muffin ~57g),4.4g,23.0g,1.0g,120,,carb,1
100,3.53,Gluten Free Wraps,2.0g,40.0g,3.0g,200,,carb,1
100,3.53,Gluten Free Bread (per slice ~35g),2.0g,18.0g,2.5g,105,,carb,1
100,3.53,Peanut Butter,25.1g,20.0g,50.4g,588,,fat,1
100,3.53,Cashews,18.2g,30.2g,43.9g,553,,fat,1
100,3.53,Brazil Nuts,14.3g,12.3g,66.4g,656,,fat,1
100,3.53,Pine Nuts,13.7g,13.1g,68.4g,673,,fat,1
100,3.53,Chia Seeds,16.5g,42.1g,30.7g,486,,fat,1
100,3.53,Flax Seeds,18.3g,28.9g,42.2g,534,,fat,1
100,3.53,Sunflower Seeds,20.8g,20.0g,51.5g,584,,fat,1
100,3.53,Brussel Sprouts,3.4g,9.0g,0.3g,43,,veggie,1
100,3.53,Mushrooms (button),3.6g,5.3g,0.4g,28,,veggie,1
100,3.53,Eggplant,0.8g,8.7g,0.2g,35,,veggie,1
100,3.53,Butternut Squash,1.0g,11.7g,0.1g,45,,veggie,1
100,3.53,Turnips,0.9g,6.4g,0.1g,28,,veggie,1
100,3.53,Tomatoes,0.9g,3.9g,0.2g,18,,veggie,1
100,3.53,Celery,0.7g,3.0g,0.2g,16,,veggie,1
100,3.53,Dates (dried),2.5g,75.0g,0.4g,282,,fruit,1
100,3.53,Cantaloupe,0.8g,8.2g,0.2g,34,,fruit,1

32,1.13,Whey Protein Isolate,25g,1g,0.5g,110,,scoop,protein,1
32,1.13,Plant Protein Powder,22g,2g,1.5g,120,,scoop,protein,1
25,0.88,Dextrose,0g,25g,0g,100,,carb,1
200,7.05,Medium Banana,1.1g,27g,0.3g,105,,fruit,1
150,5.29,Mixed Berries,1g,22g,0.5g,85,,fruit,1
250,8.82,Orange Juice,1.7g,26g,0.2g,112,,drink,1
200,7.05,Apple Juice,0.1g,24g,0.1g,95,,drink,1
