Table 1
Quantity (g),oz,Food Item,Protein,Carbs,Fat,Cals
100,3.53,Yellowfin Tuna (Tuna Steak) (cooked),29.2g,0g,1.0g,130
100,3.53,Cod Fillet (cooked),17.8g,0g,0.7g,82
100,3.53,Hoki Fillet (cooked),16.6g,0g,0.8g,77
100,3.53,Snapper Fillet (cooked),22.4g,0g,1.5g,109
100,3.53,Flathead Fillet (cooked),19.7g,0g,1.3g,95
100,3.53,Whiting Fillet (cooked),18.3g,0g,1.3g,90
100,3.53,Tilapia Fillet (cooked),26.2g,0g,2.7g,128
100,3.53,Scallops (cooked),20.5g,5.4g,0.8g,111
100,3.53,Low-Fat Greek Yogurt,10.2g,3.6g,0.4g,59
100,3.53,Low-Fat Cottage Cheese,11.1g,3.4g,4.3g,98
100,3.53,Tofu (Firm),8.2g,2.0g,4.8g,83
100,3.53,Tempeh,18.5g,9.4g,10.8g,192
100,3.53,Seitan,25.0g,14.0g,1.9g,175
100,3.53,Edamame (shelled),11.9g,8.9g,5.2g,122
100,3.53,Lentils (cooked),9.0g,20.1g,0.4g,116
100,3.53,High Protein Bread (per slice ~40g),12.0g,18.0g,3.0g,147
100,3.53,Hemp Seeds,31.6g,8.7g,48.8g,553
100,3.53,Pumpkin Seeds,19.0g,11.0g,49.0g,559
100,3.53,Basmati Rice (cooked),2.7g,28.2g,0.3g,130
100,3.53,Jasmine Rice (cooked),2.7g,28.6g,0.2g,130
100,3.53,Black Rice (cooked),2.5g,22.3g,0.8g,111
100,3.53,Chickpeas (cooked),8.9g,27.4g,2.6g,164
100,3.53,Kidney Beans (cooked),8.7g,22.8g,0.5g,127
100,3.53,Buckwheat (cooked),3.4g,19.9g,0.6g,92
100,3.53,Corn Tortillas,2.6g,20.7g,1.0g,104
100,3.53,Wholemeal Wraps,8.0g,36.0g,4.0g,210
100,3.53,Rye Bread (per slice ~32g),2.7g,15.5g,1.1g,83
100,3.53,Wholemeal Bread (per slice ~40g),4.0g,17.0g,1.5g,100
100,3.53,English Muffins (per muffin ~57g),4.4g,23.0g,1.0g,120
100,3.53,Gluten Free Wraps,2.0g,40.0g,3.0g,200
100,3.53,Gluten Free Bread (per slice ~35g),2.0g,18.0g,2.5g,105
100,3.53,Peanut Butter,25.1g,20.0g,50.4g,588
100,3.53,Cashews,18.2g,30.2g,43.9g,553
100,3.53,Brazil Nuts,14.3g,12.3g,66.4g,656
100,3.53,Pine Nuts,13.7g,13.1g,68.4g,673
100,3.53,Chia Seeds,16.5g,42.1g,30.7g,486
100,3.53,Flax Seeds,18.3g,28.9g,42.2g,534
100,3.53,Sunflower Seeds,20.8g,20.0g,51.5g,584
100,3.53,Brussel Sprouts (cooked),3.4g,9.0g,0.3g,43
100,3.53,Mushrooms (button, cooked),3.6g,5.3g,0.4g,28
100,3.53,Eggplant (cooked),0.8g,8.7g,0.2g,35
100,3.53,Butternut Squash (cooked),1.0g,11.7g,0.1g,45
100,3.53,Turnips (cooked),0.9g,6.4g,0.1g,28
100,3.53,Tomatoes (raw),0.9g,3.9g,0.2g,18
100,3.53,Celery (raw),0.7g,3.0g,0.2g,16
100,3.53,Dates (dried),2.5g,75.0g,0.4g,282
100,3.53,Cantaloupe,0.8g,8.2g,0.2g,34
